Target_Bandgap_eV,ML_MAE_eV,PCE_Current,PCE_Future,Percent_SQ_Current,Percent_SQ_Future,LCOE_Penalty_Current,LCOE_Penalty_Future
1.82083,0.05000,0.17721,0.21531,69.98413,85.03146,0.00000,0.00000
1.87500,0.05000,0.16911,0.20465,70.24154,85.00561,0.00000,0.00004
1.92917,0.05000,0.16022,0.19440,70.09291,85.04450,0.00000,0.00000
1.98333,0.05000,0.15205,0.18422,70.17922,85.02691,0.00000,0.00000
2.03750,0.05000,0.14317,0.17424,69.92403,85.09827,0.00000,0.00000
2.09167,0.05000,0.13516,0.16403,70.09042,85.06505,0.00013,0.00004
2.14583,0.05000,0.12745,0.15413,70.26640,84.98062,0.00000,0.00006
2.20000,0.05000,0.11855,0.14468,69.73583,85.10670,0.00018,0.00012
0.90000,0.07500,0.10421,0.12546,71.86738,86.52731,0.00000,0.00000
0.95417,0.07500,0.13841,0.16965,69.49419,85.18163,0.00104,0.00000
1.00833,0.07500,0.17165,0.20948,68.77396,83.93043,0.00199,0.00050
1.06250,0.07500,0.19349,0.23603,69.25854,84.48497,0.00129,0.00013
1.11667,0.07500,0.21035,0.25596,69.04173,84.01389,0.00140,0.00036
1.17083,0.07500,0.22196,0.26849,69.40014,83.94834,0.00064,0.00028
1.22500,0.07500,0.22822,0.27738,69.15630,84.05591,0.00095,0.00025
1.27917,0.07500,0.23225,0.28186,69.46527,84.30627,0.00056,0.00018
1.33333,0.07500,0.23307,0.28337,69.19337,84.12885,0.00082,0.00022
1.38750,0.07500,0.23195,0.28187,69.31789,84.23338,0.00077,0.00015
1.44167,0.07500,0.22880,0.27775,69.63351,84.52951,0.00041,0.00007
1.49583,0.07500,0.22408,0.27145,69.68873,84.42143,0.00054,0.00012
1.55000,0.07500,0.21792,0.26423,69.95868,84.82585,0.00023,0.00006
1.60417,0.07500,0.21022,0.25502,69.81270,84.68835,0.00008,0.00008
1.65833,0.07500,0.20277,0.24622,69.98002,84.97731,0.00021,0.00000
1.71250,0.07500,0.19441,0.23641,69.89975,85.00312,0.00039,0.00002
1.76667,0.07500,0.18555,0.22582,69.84358,85.00025,0.00043,0.00009
1.82083,0.07500,0.17741,0.21548,70.06673,85.10078,0.00000,0.00000
1.87500,0.07500,0.16859,0.20492,70.02772,85.11940,0.00002,0.00000
1.92917,0.07500,0.15980,0.19422,69.90886,84.96732,0.00000,0.00005
1.98333,0.07500,0.15149,0.18451,69.91769,85.15854,0.00001,0.00000
