ML_MAE_eV,Achieved_PCE_Percent,SQ_Saturation_Percent,LCOE_Penalty_Current,LCOE_Penalty_Future
0.21609,26.07777,92.97311,0.00319,0.00027
0.47137,27.48794,98.00067,0.00086,0.00007
0.31727,27.80733,99.13939,0.00037,0.00003
0.24390,25.94890,92.51364,0.00342,0.00029
0.48249,27.95791,99.67622,0.00014,0.00001
0.44800,24.56696,87.58673,0.00599,0.00051
0.09155,28.01238,99.87044,0.00005,0.00000
0.54982,27.11550,96.67285,0.00145,0.00012
0.20745,27.51367,98.09239,0.00082,0.00007
0.56770,27.94738,99.63867,0.00015,0.00001
0.34352,26.05149,92.87942,0.00324,0.00028
0.57869,0.50000,1.78261,2.32679,0.19770
0.30667,27.97843,99.74938,0.00011,0.00001
0.36965,27.95538,99.66721,0.00014,0.00001
0.26405,27.14799,96.78869,0.00140,0.00012
0.50940,20.53583,73.21486,0.01545,0.00131
0.28642,28.03828,99.96276,0.00002,0.00000
0.18712,27.86115,99.33124,0.00028,0.00002
0.23600,26.36197,93.98633,0.00270,0.00023
0.43958,27.37918,97.61292,0.00103,0.00009
0.07954,28.03912,99.96577,0.00001,0.00000
0.02930,28.04737,99.99518,0.00000,0.00000
0.12414,28.02183,99.90412,0.00004,0.00000
0.10807,28.04918,100.00162,0.00000,0.00000
0.28581,28.04753,99.99573,0.00000,0.00000
0.46602,28.04160,99.97461,0.00001,0.00000
0.46575,25.42027,90.62897,0.00437,0.00037
0.00917,28.04849,99.99917,0.00000,0.00000
0.13294,28.04099,99.97244,0.00001,0.00000
0.22953,27.20074,96.97675,0.00132,0.00011
0.13925,28.01382,99.87554,0.00005,0.00000
0.46095,26.83856,95.68550,0.00190,0.00016
0.12156,27.88472,99.41529,0.00025,0.00002
0.52232,24.84414,88.57492,0.00545,0.00046
0.15425,27.95345,99.66032,0.00014,0.00001
0.17992,28.01144,99.86708,0.00006,0.00000
0.18546,27.68453,98.70158,0.00056,0.00005
0.11599,28.04535,99.98797,0.00001,0.00000
0.17992,28.04999,100.00452,0.00000,0.00000
0.35614,26.42036,94.19453,0.00260,0.00022
0.57051,27.29201,97.30214,0.00117,0.00010
0.19509,27.80693,99.13794,0.00037,0.00003
0.08096,28.03125,99.93771,0.00003,0.00000
0.27981,27.80147,99.11847,0.00038,0.00003
0.44058,27.14953,96.79416,0.00140,0.00012
0.29133,27.72143,98.83311,0.00050,0.00004
0.46931,27.66054,98.61605,0.00059,0.00005
0.42436,28.04450,99.98494,0.00001,0.00000
0.56143,0.50000,1.78261,2.32679,0.19770
0.34627,27.30892,97.36242,0.00114,0.00010
0.06183,28.02606,99.91921,0.00003,0.00000
0.43654,27.70269,98.76632,0.00053,0.00004
0.02926,28.03995,99.96872,0.00001,0.00000
0.39615,26.71808,95.25594,0.00210,0.00018
0.05811,28.04926,100.00189,0.00000,0.00000
0.39159,27.82006,99.18476,0.00035,0.00003
0.47464,22.52601,80.31028,0.01035,0.00088
0.16376,27.91900,99.53748,0.00020,0.00002
0.34176,28.03542,99.95257,0.00002,0.00000
0.52445,0.50000,1.78261,2.32679,0.19770
0.55029,27.85454,99.30770,0.00029,0.00003
0.41397,26.01345,92.74378,0.00330,0.00028
0.03391,28.02429,99.91287,0.00004,0.00000
0.27439,26.97811,96.18301,0.00168,0.00014
0.00801,28.04843,99.99894,0.00000,0.00000
0.46305,28.03648,99.95635,0.00002,0.00000
0.25138,27.69968,98.75559,0.00053,0.00005
0.57157,24.62707,87.80101,0.00587,0.00050
0.15518,27.91638,99.52815,0.00020,0.00002
0.36593,28.00928,99.85936,0.00006,0.00001
0.18902,27.86811,99.35606,0.00027,0.00002
0.14551,27.60583,98.42098,0.00068,0.00006
0.09063,28.04819,99.99808,0.00000,0.00000
0.42055,0.50000,1.78261,2.32679,0.19770
0.36450,27.82290,99.19488,0.00034,0.00003
0.58418,28.04500,99.98671,0.00001,0.00000
0.31873,27.78367,99.05503,0.00040,0.00003
0.02397,28.03973,99.96792,0.00001,0.00000
0.20643,27.89135,99.43893,0.00024,0.00002
0.47373,27.40756,97.71410,0.00099,0.00008
0.19180,27.50647,98.06672,0.00083,0.00007
0.29327,27.89039,99.43550,0.00024,0.00002
0.03451,28.01255,99.87103,0.00005,0.00000
0.23927,27.12816,96.71797,0.00143,0.00012
0.29797,26.81740,95.61004,0.00194,0.00016
0.11478,28.03179,99.93961,0.00003,0.00000
0.36722,27.31002,97.36636,0.00114,0.00010
0.14767,27.76969,99.00518,0.00042,0.00004
0.39642,24.72114,88.13640,0.00568,0.00048
0.49695,27.63831,98.53678,0.00063,0.00005
0.53234,27.30469,97.34737,0.00115,0.00010
0.20095,28.04776,99.99657,0.00000,0.00000
0.09630,27.79342,99.08979,0.00039,0.00003
0.19338,28.04998,100.00449,0.00000,0.00000
0.28997,27.39275,97.66132,0.00101,0.00009
0.15836,28.02310,99.90865,0.00004,0.00000
0.40196,27.52385,98.12871,0.00081,0.00007
0.31246,28.02697,99.92245,0.00003,0.00000
0.33673,27.86561,99.34714,0.00028,0.00002
0.06860,27.74294,98.90981,0.00047,0.00004
0.54109,17.48481,62.33729,0.02551,0.00217
0.26874,27.43616,97.81605,0.00094,0.00008
0.50877,0.50000,1.78261,2.32679,0.19770
0.41659,27.57311,98.30434,0.00073,0.00006
0.25540,27.94635,99.63501,0.00015,0.00001
0.37440,0.50000,1.78261,2.32679,0.19770
0.59135,0.50000,1.78261,2.32679,0.19770
0.11022,27.92262,99.55040,0.00019,0.00002
0.07972,27.59332,98.37637,0.00070,0.00006
0.39806,27.67890,98.68149,0.00056,0.00005
0.17539,27.81684,99.17328,0.00035,0.00003
0.32442,0.50000,1.78261,2.32679,0.19770
0.39252,24.95204,88.95962,0.00524,0.00045
0.57919,0.50000,1.78261,2.32679,0.19770
0.50486,25.54327,91.06749,0.00414,0.00035
0.32853,26.12287,93.13391,0.00311,0.00026
0.45812,0.50000,1.78261,2.32679,0.19770
0.50754,14.40800,51.36774,0.03998,0.00340
0.11348,27.73149,98.86897,0.00048,0.00004
0.31262,27.66960,98.64834,0.00058,0.00005
0.26201,28.04744,99.99543,0.00000,0.00000
0.03254,28.03499,99.95104,0.00002,0.00000
0.03875,28.03285,99.94340,0.00002,0.00000
0.49494,26.83323,95.66648,0.00191,0.00016
0.53931,18.80213,67.03382,0.02077,0.00176
0.21469,26.61939,94.90409,0.00227,0.00019
0.34669,0.50000,1.78261,2.32679,0.19770
0.22870,27.75848,98.96520,0.00044,0.00004
0.08971,27.87805,99.39150,0.00026,0.00002
0.53742,26.94382,96.06078,0.00173,0.00015
0.24219,28.03875,99.96444,0.00002,0.00000
0.51184,27.51251,98.08826,0.00082,0.00007
0.43687,27.02782,96.36023,0.00160,0.00014
0.13225,27.97137,99.72421,0.00012,0.00001
0.20548,26.76519,95.42391,0.00203,0.00017
0.24466,28.00742,99.85272,0.00006,0.00001
0.27262,27.94293,99.62283,0.00016,0.00001
0.35816,27.83278,99.23011,0.00033,0.00003
0.31897,22.77462,81.19664,0.00978,0.00083
0.19921,28.04960,100.00313,0.00000,0.00000
0.24170,27.71800,98.82089,0.00050,0.00004
0.33796,0.50000,1.78261,2.32679,0.19770
0.16962,28.04801,99.99746,0.00000,0.00000
0.00705,28.04877,100.00016,0.00000,0.00000
0.15618,27.37582,97.60095,0.00104,0.00009
0.55648,22.69580,80.91561,0.00996,0.00085
0.34101,27.34862,97.50396,0.00108,0.00009
0.39740,28.04255,99.97797,0.00001,0.00000
0.01878,28.04287,99.97913,0.00001,0.00000
0.00634,28.04700,99.99385,0.00000,0.00000
0.23610,28.02190,99.90436,0.00004,0.00000
0.48966,27.61715,98.46133,0.00066,0.00006
0.46981,0.50000,1.78261,2.32679,0.19770
0.21744,27.58794,98.35721,0.00071,0.00006
0.53220,27.26460,97.20443,0.00121,0.00010
0.34374,25.72948,91.73136,0.00381,0.00032
0.57588,0.50000,1.78261,2.32679,0.19770
0.50237,27.31312,97.37739,0.00114,0.00010
0.02195,28.04545,99.98832,0.00000,0.00000
0.16393,27.85998,99.32708,0.00029,0.00002
0.44945,27.99313,99.80181,0.00008,0.00001
0.52299,0.50000,1.78261,2.32679,0.19770
0.00318,28.04909,100.00130,0.00000,0.00000
0.11453,27.86797,99.35557,0.00027,0.00002
0.30688,27.88509,99.41659,0.00025,0.00002
0.41880,27.85176,99.29779,0.00030,0.00003
0.15428,27.98182,99.76147,0.00010,0.00001
0.34078,27.63875,98.53834,0.00063,0.00005
0.00724,28.04993,100.00428,0.00000,0.00000
0.20512,27.08123,96.55067,0.00151,0.00013
0.11135,27.88604,99.41999,0.00025,0.00002
0.15928,27.63007,98.50739,0.00064,0.00005
0.03388,28.00650,99.84946,0.00006,0.00001
0.17837,26.09552,93.03638,0.00316,0.00027
0.04623,28.00127,99.83080,0.00007,0.00001
0.02374,28.02849,99.92786,0.00003,0.00000
0.28955,27.53720,98.17631,0.00078,0.00007
0.52029,26.22774,93.50779,0.00293,0.00025
0.21161,27.16639,96.85428,0.00137,0.00012
0.12853,28.04968,100.00340,0.00000,0.00000
0.52440,27.56643,98.28052,0.00074,0.00006
0.55438,22.87976,81.57149,0.00954,0.00081
0.41414,26.67526,95.10330,0.00217,0.00018
0.30522,26.76844,95.43549,0.00202,0.00017
0.34276,28.04448,99.98488,0.00001,0.00000
0.11619,27.95531,99.66694,0.00014,0.00001
0.49949,0.50000,1.78261,2.32679,0.19770
0.19211,27.99859,99.82126,0.00008,0.00001
0.32549,0.50000,1.78261,2.32679,0.19770
0.57461,28.01525,99.88064,0.00005,0.00000
0.49811,28.04871,99.99996,0.00000,0.00000
0.50338,26.01534,92.75052,0.00330,0.00028
0.23335,27.85685,99.31592,0.00029,0.00002
0.01303,28.03830,99.96283,0.00002,0.00000
0.34800,27.97475,99.73625,0.00011,0.00001
0.15175,26.52917,94.58245,0.00242,0.00021
0.34684,27.56261,98.26691,0.00074,0.00006
0.39776,0.50000,1.78261,2.32679,0.19770
0.39873,27.80354,99.12585,0.00037,0.00003
0.12339,28.04436,99.98445,0.00001,0.00000
0.19303,28.04791,99.99708,0.00000,0.00000
0.29777,28.02002,99.89766,0.00004,0.00000
0.41237,27.57702,98.31825,0.00072,0.00006
0.07775,28.02816,99.92668,0.00003,0.00000
0.41975,27.93969,99.61127,0.00016,0.00001
0.09732,27.72566,98.84822,0.00049,0.00004
0.27763,27.06964,96.50934,0.00153,0.00013
0.59084,0.50000,1.78261,2.32679,0.19770
0.19916,27.61888,98.46752,0.00066,0.00006
0.36447,26.40151,94.12729,0.00263,0.00022
0.52007,26.26610,93.64454,0.00287,0.00024
0.29490,28.04674,99.99293,0.00000,0.00000
0.11598,28.04711,99.99424,0.00000,0.00000
0.18491,27.29283,97.30507,0.00117,0.00010
0.25061,28.04759,99.99595,0.00000,0.00000
