Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta
K2NbZnSe3Cl3,1.43650,-1.44838,0.27025,30.00000,0.85000,0.61000,0.96697,0.36412,25.29964,0.03680,0.03285,0.04953,25.29239,0.03680,44.00000,41.00000,3.00000
Na2SnNbSe3I3,1.37649,-1.00883,0.50952,30.00000,0.83176,0.11000,0.89319,0.31818,24.83240,0.03723,0.03318,0.05429,25.37811,0.03680,44.00000,289.00000,-245.00000
Na2CrMoO3I3,1.39304,-1.49936,0.53324,30.00000,0.81006,0.78000,0.93888,0.33472,24.15414,0.03776,0.03361,0.05365,25.35919,0.03681,62.00000,561.00000,-499.00000
Na2ZrSbS3I3,1.41591,-1.22823,0.46810,30.00000,0.84923,0.08000,0.89971,0.32673,25.33356,0.03682,0.03288,0.05044,25.32477,0.03681,62.00000,66.00000,-4.00000
Na2NbZnS3I3,1.35064,-1.12727,0.45941,30.00000,0.85000,0.08000,0.88975,0.34158,25.40482,0.03682,0.03285,0.05687,25.37730,0.03681,62.00000,65.00000,-3.00000
Na2WBiO3I3,1.39777,-1.37097,0.44734,30.00000,0.83511,0.78000,0.90954,0.37778,24.91388,0.03714,0.03312,0.05219,25.39420,0.03681,62.00000,231.00000,-169.00000
Na2MoWS3Se3,1.35445,-1.03571,0.34394,30.00000,0.85000,0.03000,0.93152,0.31152,25.40839,0.03680,0.03284,0.05626,25.35705,0.03681,62.00000,42.00000,20.00000
Na2ZrWS6,1.43065,-1.48907,0.16139,30.00000,0.85000,0.00000,0.91358,0.35870,25.32194,0.03677,0.03283,0.04971,25.26713,0.03681,62.00000,24.00000,38.00000
K2ZrSbSe3I3,1.40365,-1.32848,0.49640,30.00000,0.85000,0.11000,0.95909,0.31579,25.37393,0.03680,0.03287,0.05112,25.33770,0.03681,62.00000,45.00000,17.00000
Na2MnSbO6,1.44927,-2.07355,0.18180,30.00000,0.85000,0.00000,0.97544,0.44464,25.25328,0.03680,0.03285,0.04911,25.21520,0.03681,62.00000,44.00000,18.00000
Na2SbZnSe3I3,1.35880,-0.89472,0.50147,30.00000,0.83331,0.11000,0.89157,0.32057,24.89800,0.03721,0.03316,0.05644,25.37040,0.03681,62.00000,278.00000,-216.00000
Na2SnZnCl3I3,1.36029,-1.20798,0.42214,30.00000,0.82486,0.50000,0.88258,0.35661,24.63436,0.03739,0.03331,0.05658,25.37521,0.03681,62.00000,384.00000,-322.00000
K2MoWS3Se3,1.43828,-1.10336,0.33897,30.00000,0.85000,0.03000,1.00209,0.31152,25.29360,0.03681,0.03286,0.04952,25.31584,0.03681,62.00000,60.00000,2.00000
K2SnNbSe3I3,1.35785,-1.14346,0.49986,30.00000,0.85000,0.11000,0.95735,0.31818,25.41368,0.03682,0.03286,0.05576,25.34628,0.03681,62.00000,68.00000,-6.00000
Na2NbCuO3Br3,1.31875,-1.76265,0.11749,30.00000,0.85000,0.48000,0.91789,0.40774,25.33176,0.03682,0.03283,0.06362,25.27099,0.03681,62.00000,67.00000,-5.00000
K2CrMnS3I3,1.39360,-1.17874,0.42698,30.00000,0.85000,0.08000,0.97661,0.31188,25.38268,0.03678,0.03285,0.05179,25.33529,0.03681,62.00000,28.00000,34.00000
K2MnSbO3Cl3,1.45448,-1.80086,0.16141,30.00000,0.85000,0.28000,1.03011,0.38785,25.23986,0.03681,0.03285,0.04896,25.25470,0.03681,62.00000,52.00000,10.00000
Na2SnSbSe3Br3,1.42078,-1.03436,0.26882,30.00000,0.82291,0.41000,0.90856,0.32741,24.51458,0.03741,0.03334,0.05124,25.28296,0.03681,62.00000,392.00000,-330.00000
K2SnSbSe3I3,1.34924,-0.97694,0.50011,30.00000,0.85000,0.11000,0.96435,0.30861,25.40585,0.03682,0.03286,0.05708,25.36384,0.03681,62.00000,71.00000,-9.00000
Na2SnTaSe3Br3,1.40497,-1.35629,0.58762,30.00000,0.82930,0.41000,0.90166,0.33756,24.73744,0.03731,0.03325,0.05187,25.35578,0.03682,79.00000,332.00000,-253.00000
Na2MnBiO3Br3,1.44676,-1.47111,0.13641,30.00000,0.85000,0.48000,0.91115,0.41815,25.26336,0.03679,0.03285,0.04913,25.24221,0.03682,79.00000,37.00000,42.00000
Na2SnMoS3Se3,1.34271,-0.96463,0.35426,30.00000,0.85000,0.03000,0.91508,0.33508,25.40254,0.03681,0.03284,0.05823,25.38617,0.03682,79.00000,51.00000,28.00000
Na2MnBiO6,1.30416,-1.91652,0.18130,30.00000,0.85000,0.00000,0.93832,0.50179,25.30321,0.03685,0.03285,0.06783,25.29394,0.03682,79.00000,97.00000,-18.00000
Na2ZrWS3Se3,1.33288,-1.32692,0.27804,30.00000,0.85000,0.03000,0.90796,0.34555,25.37396,0.03682,0.03284,0.06026,25.33326,0.03682,79.00000,63.00000,16.00000
Na2CrMnS3I3,1.31627,-1.11437,0.43668,30.00000,0.83884,0.08000,0.90990,0.31188,24.98840,0.03714,0.03308,0.06503,25.33651,0.03682,79.00000,232.00000,-153.00000
Na2MnBiO3Se3,1.38689,-1.32574,0.29933,30.00000,0.85000,0.89000,0.91030,0.41568,25.39264,0.03676,0.03283,0.05235,25.31796,0.03682,79.00000,19.00000,60.00000
Na2MoMnS6,1.32422,-1.13131,0.19656,30.00000,0.85000,0.00000,0.92938,0.33560,25.34860,0.03682,0.03284,0.06230,25.32396,0.03682,79.00000,70.00000,9.00000
K2SnCrS3Se3,1.31892,-1.05457,0.27240,30.00000,0.85000,0.03000,0.97960,0.34162,25.33430,0.03685,0.03286,0.06364,25.34162,0.03682,79.00000,92.00000,-13.00000
K2VCuO3Br3,1.31551,-1.73822,0.09726,30.00000,0.85000,0.48000,1.01408,0.37798,25.32809,0.03682,0.03284,0.06447,25.30286,0.03682,79.00000,64.00000,15.00000
K2SnMnO3Se3,1.34405,-1.49674,0.27971,30.00000,0.85000,0.89000,0.99880,0.39497,25.40066,0.03679,0.03283,0.05795,25.32102,0.03682,79.00000,35.00000,44.00000
K2SnBiSe3I3,1.39124,-0.99726,0.47279,30.00000,0.85000,0.11000,0.93695,0.34689,25.38652,0.03679,0.03286,0.05195,25.35868,0.03682,79.00000,33.00000,46.00000
K2CrMnSe3I3,1.35025,-1.17631,0.47549,30.00000,0.84820,0.11000,0.96967,0.30144,25.35105,0.03686,0.03289,0.05701,25.34026,0.03682,79.00000,102.00000,-23.00000
K2SnFeO3Br3,1.46187,-1.43156,0.09769,30.00000,0.85000,0.48000,1.00004,0.39732,25.21391,0.03682,0.03285,0.04868,25.25067,0.03682,79.00000,62.00000,17.00000
K2MnBiO3Br3,1.30877,-1.51921,0.14158,30.00000,0.85000,0.48000,0.98535,0.41815,25.31556,0.03684,0.03284,0.06635,25.30747,0.03682,79.00000,80.00000,-1.00000
Na2SnNbS3Br3,1.35965,-1.23322,0.15408,30.00000,0.84848,0.38000,0.90697,0.35000,25.36135,0.03679,0.03284,0.05547,25.33240,0.03682,79.00000,38.00000,41.00000
Na2TiWS6,1.44485,-1.36134,0.14348,30.00000,0.85000,0.00000,0.93509,0.32745,25.27475,0.03679,0.03284,0.04920,25.26155,0.03682,79.00000,36.00000,43.00000
Na2SnFeF3I3,1.35503,-1.93153,0.45813,30.00000,0.78829,1.32000,0.91800,0.38034,23.50565,0.03834,0.03403,0.05930,25.35104,0.03682,79.00000,789.00000,-710.00000
K2ZrSbSe3Br3,1.46591,-1.50889,0.25482,30.00000,0.85000,0.41000,0.97059,0.33503,25.20624,0.03685,0.03288,0.04863,25.25809,0.03682,79.00000,95.00000,-16.00000
K2MnZnCl3I3,1.41619,-1.35971,0.40196,30.00000,0.85000,0.50000,0.95548,0.34539,25.35794,0.03679,0.03286,0.05037,25.32106,0.03682,79.00000,32.00000,47.00000
K2SnNbSe3Cl3,1.38008,-1.60567,0.30115,30.00000,0.85000,0.61000,0.97642,0.35092,25.39177,0.03676,0.03283,0.05302,25.31842,0.03682,79.00000,17.00000,62.00000
K2SnTaSe3Br3,1.40028,-1.44714,0.57441,30.00000,0.85000,0.41000,0.96875,0.33756,25.37367,0.03681,0.03287,0.05142,25.36052,0.03683,100.00000,61.00000,39.00000
Na2SnCrS3Se3,1.32677,-1.02529,0.27445,30.00000,0.85000,0.03000,0.91062,0.34162,25.35940,0.03683,0.03285,0.06170,25.32747,0.03683,100.00000,78.00000,22.00000
Na2VFeO3Br3,1.45944,-1.82482,0.07236,30.00000,0.85000,0.48000,0.95526,0.35268,25.21986,0.03681,0.03285,0.04875,25.21146,0.03683,100.00000,50.00000,50.00000
Na2WSbO3I3,1.42951,-1.36491,0.47728,30.00000,0.80899,0.78000,0.93986,0.33333,24.06874,0.03781,0.03364,0.05159,25.31838,0.03683,100.00000,585.00000,-485.00000
K2NbMnS3I3,1.34179,-1.20950,0.45488,30.00000,0.85000,0.08000,0.97202,0.31807,25.40083,0.03683,0.03286,0.05845,25.35162,0.03683,100.00000,77.00000,23.00000
K2TaCuS3Br3,1.38744,-1.32639,0.55174,30.00000,0.85000,0.38000,0.96834,0.36053,25.39458,0.03681,0.03287,0.05235,25.35944,0.03683,100.00000,48.00000,52.00000
Na2WBiSe3I3,1.41861,-0.95031,0.46622,30.00000,0.83626,0.11000,0.88835,0.32536,24.93218,0.03712,0.03312,0.05086,25.29707,0.03683,100.00000,228.00000,-128.00000
K2FeSbO3I3,1.36235,-1.33126,0.47942,30.00000,0.83458,0.78000,1.00411,0.34583,24.93495,0.03716,0.03313,0.05588,25.38406,0.03683,100.00000,252.00000,-152.00000
K2SbZnO3I3,1.36540,-1.28184,0.47521,30.00000,0.85000,0.78000,0.98480,0.37222,25.40104,0.03681,0.03286,0.05477,25.33093,0.03683,100.00000,57.00000,43.00000
K2NbSbS3Se3,1.45056,-1.04631,0.34430,30.00000,0.85000,0.03000,0.99219,0.32461,25.25134,0.03683,0.03288,0.04914,25.26321,0.03683,100.00000,79.00000,21.00000
K2VTaSe6,1.36402,-1.30199,0.73234,30.00000,0.85000,0.00000,0.99600,0.29798,25.40439,0.03685,0.03289,0.05503,25.34197,0.03683,100.00000,98.00000,2.00000
K2TaFeSe3Cl3,1.38521,-1.52526,0.68019,30.00000,0.84392,0.61000,0.98507,0.33905,25.20527,0.03697,0.03299,0.05290,25.35638,0.03683,100.00000,155.00000,-55.00000
K2NbFeSe3I3,1.39724,-1.20079,0.49488,30.00000,0.85000,0.11000,0.96524,0.30742,25.37191,0.03680,0.03286,0.05162,25.28991,0.03683,100.00000,39.00000,61.00000
Na2ZrSbSe3I3,1.40163,-1.14534,0.50592,30.00000,0.83017,0.11000,0.89481,0.31579,24.76387,0.03727,0.03322,0.05213,25.35163,0.03683,100.00000,315.00000,-215.00000
Na2SnFeO3I3,1.39333,-1.31316,0.46303,30.00000,0.83212,0.78000,0.91415,0.37083,24.83290,0.03720,0.03318,0.05258,25.32320,0.03683,100.00000,272.00000,-172.00000
Na2TiSbS3I3,1.33278,-1.06462,0.47514,30.00000,0.82769,0.08000,0.91944,0.29827,24.68911,0.03738,0.03328,0.06158,25.34248,0.03683,100.00000,376.00000,-276.00000
Na2TaZnSe3Br3,1.38374,-1.30210,0.58418,30.00000,0.83609,0.41000,0.89319,0.35025,24.96424,0.03714,0.03312,0.05341,25.36936,0.03683,100.00000,233.00000,-133.00000
K2TaCuO3Br3,1.33853,-1.82898,0.58640,30.00000,0.85000,0.48000,0.99264,0.40774,25.39379,0.03686,0.03288,0.05920,25.32140,0.03684,117.00000,105.00000,12.00000
Na2MnSbO3Se3,1.32792,-1.35606,0.31992,30.00000,0.83290,0.89000,0.94179,0.36834,24.83757,0.03723,0.03316,0.06236,25.32834,0.03684,117.00000,292.00000,-175.00000
Na2VMnO3Br3,1.46950,-1.94915,0.07437,30.00000,0.85000,0.48000,0.95526,0.35268,25.19460,0.03683,0.03286,0.04850,25.16411,0.03684,117.00000,76.00000,41.00000
K2ZrWS3Se3,1.46061,-1.34468,0.27613,30.00000,0.85000,0.03000,0.97674,0.34555,25.21763,0.03684,0.03288,0.04878,25.18449,0.03684,117.00000,88.00000,29.00000
Na2VSbO3Se3,1.41724,-1.52550,0.36522,30.00000,0.81022,0.89000,0.96367,0.33728,24.13238,0.03774,0.03360,0.05199,25.28577,0.03684,117.00000,554.00000,-437.00000
K2TaFeSe3Br3,1.37753,-1.43541,0.57503,30.00000,0.84893,0.41000,0.97709,0.32614,25.35522,0.03684,0.03289,0.05342,25.31511,0.03684,117.00000,82.00000,35.00000
Na2CrWSe3Br3,1.32777,-1.21738,0.22369,30.00000,0.80860,0.41000,0.92178,0.30838,24.09059,0.03782,0.03361,0.06375,25.32441,0.03684,117.00000,592.00000,-475.00000
K2SnZnCl3I3,1.44596,-1.33910,0.41420,30.00000,0.85000,0.50000,0.94758,0.35661,25.26936,0.03684,0.03288,0.04924,25.26002,0.03684,117.00000,81.00000,36.00000
K2NbMnSe3Br3,1.30541,-1.45398,0.23241,30.00000,0.84893,0.41000,0.97709,0.32614,25.27625,0.03688,0.03288,0.06747,25.28618,0.03684,117.00000,119.00000,-2.00000
Na2VCuO3I3,1.32612,-1.51842,0.49992,30.00000,0.82248,0.78000,0.92635,0.35278,24.51250,0.03752,0.03339,0.06343,25.33171,0.03684,117.00000,438.00000,-321.00000
K2MnBiO3I3,1.43121,-1.40814,0.44710,30.00000,0.85000,0.78000,0.97201,0.39028,25.32054,0.03682,0.03288,0.04977,25.27374,0.03685,127.00000,69.00000,58.00000
Na2TaFeSe3Cl3,1.34929,-1.42775,0.70297,30.00000,0.81965,0.61000,0.91541,0.33905,24.47106,0.03759,0.03345,0.05866,25.37692,0.03685,127.00000,469.00000,-342.00000
Na2TaZnSe3I3,1.38151,-1.13313,0.77441,30.00000,0.83903,0.11000,0.88516,0.33014,25.05384,0.03710,0.03309,0.05352,25.35166,0.03685,127.00000,221.00000,-94.00000
K2SnFeF3I3,1.36186,-1.98118,0.44783,30.00000,0.81154,1.32000,0.99097,0.38034,24.22746,0.03773,0.03356,0.05705,25.36993,0.03685,127.00000,550.00000,-423.00000
K2MnZnF3I3,1.44228,-2.08598,0.43389,30.00000,0.82142,1.32000,0.98085,0.39459,24.41136,0.03751,0.03340,0.05052,25.27108,0.03685,127.00000,433.00000,-306.00000
Na2MoBiO3I3,1.43365,-1.31826,0.51231,30.00000,0.83396,0.78000,0.91138,0.37500,24.82317,0.03721,0.03318,0.05036,25.31072,0.03685,127.00000,274.00000,-147.00000
