Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta,Lifetime_Ef_current,Lifetime_Ef_future
K2FeCuF3I3,1.23333,-1.94588,0.44197,30.0,0.81959,1.32,0.98286,0.39174,24.06928,0.03791,0.0335,0.11192,24.98584,0.03721,436.0,630.0,-194.0,20.0,30.0
Na2TiBiS3I3,1.55074,-1.05964,0.44206,30.0,0.85,0.08,0.89222,0.33787,24.77239,0.03722,0.03304,0.04837,24.7847,0.03721,436.0,283.0,153.0,20.0,30.0
Na2CrMnO3Br3,1.56101,-1.72278,0.03206,30.0,0.85,0.48,0.93975,0.375,24.69812,0.03719,0.033,0.04834,24.65815,0.03721,436.0,266.0,170.0,20.0,30.0
K2MnZnI6,1.23378,-1.10856,0.56098,30.0,0.85,0.0,0.93873,0.31477,24.99084,0.0372,0.03296,0.1085,24.97832,0.03721,436.0,269.0,167.0,20.0,30.0
Na2MoAgO3I3,1.32635,-1.30851,2.59614,30.0,0.84515,0.78,0.87769,0.42778,25.20927,0.03734,0.03327,0.06296,25.34802,0.03721,436.0,356.0,80.0,20.0,30.0
Na2TiCrS3I3,1.22797,-1.31102,0.44528,30.0,0.83089,0.08,0.91682,0.30198,24.37201,0.03767,0.0333,0.11661,24.93071,0.03721,436.0,523.0,-87.0,20.0,30.0
K2VNbS3Se3,1.21816,-1.29046,0.32846,30.0,0.85,0.03,1.00409,0.3089,24.88004,0.03725,0.03294,0.12728,24.91777,0.03721,436.0,305.0,131.0,20.0,30.0
Na2TaMnSe3Br3,1.23728,-1.39283,0.59113,30.0,0.82206,0.41,0.90943,0.32614,24.16333,0.03785,0.03347,0.10778,24.99938,0.03721,436.0,604.0,-168.0,20.0,30.0
K2VCuS3I3,1.22459,-1.13909,0.45943,30.0,0.85,0.08,0.97477,0.31436,24.92576,0.03724,0.03296,0.11867,24.9303,0.03721,436.0,297.0,139.0,20.0,30.0
Na2SnTaS3Br3,1.54876,-1.27722,0.56365,30.0,0.84848,0.38,0.90697,0.35,24.73881,0.03726,0.03308,0.04843,24.75877,0.03722,447.0,313.0,134.0,20.0,30.0
Na2WSbO3Br3,1.55517,-1.4096,0.18294,30.0,0.85,0.48,0.95211,0.35714,24.74356,0.03719,0.03301,0.04832,24.72751,0.03722,447.0,268.0,179.0,20.0,30.0
Na2CrWO3I3,1.55226,-1.53287,0.45132,30.0,0.81216,0.78,0.93693,0.3375,23.63684,0.03815,0.03375,0.04987,24.72011,0.03722,447.0,728.0,-281.0,20.0,30.0
K2ZrCrS3I3,1.2261,-1.35844,0.43012,30.0,0.85,0.08,0.96298,0.33045,24.9406,0.03723,0.03295,0.11691,24.9792,0.03722,447.0,287.0,160.0,20.0,30.0
Na2WFeS3I3,1.54923,-1.01896,0.42268,30.0,0.83596,0.08,0.91248,0.30817,24.36511,0.03754,0.03329,0.04889,24.72138,0.03722,447.0,450.0,-3.0,20.0,30.0
K2CuZnF3I3,1.22102,-1.96043,0.43799,30.0,0.834,1.32,0.96411,0.4188,24.41358,0.03764,0.03324,0.1249,24.94258,0.03723,452.0,503.0,-51.0,20.0,30.0
K2MoWO3Se3,1.55062,-1.49693,0.35593,30.0,0.82653,0.89,1.03049,0.35207,24.07428,0.03776,0.03345,0.04924,24.76362,0.03723,452.0,562.0,-110.0,20.0,30.0
Na2ZrBiSe3I3,1.55837,-1.21266,0.47637,30.0,0.85,0.11,0.86952,0.35407,24.72193,0.03726,0.03306,0.04843,24.69919,0.03723,452.0,314.0,138.0,20.0,30.0
Na2SnGaSe3I3,1.50323,-0.92315,1.43676,30.0,0.82853,0.11,0.89644,0.3134,24.39646,0.03769,0.03351,0.04938,25.02405,0.03723,452.0,533.0,-81.0,20.0,30.0
Na2VTaS6,1.53805,-1.41261,0.78336,30.0,0.85,0.0,0.9399,0.32065,24.86428,0.03722,0.03307,0.04837,24.80756,0.03723,452.0,284.0,168.0,20.0,30.0
K2SnSbS3Br3,1.56513,-1.05601,0.1738,30.0,0.85,0.38,0.98356,0.33947,24.67441,0.03724,0.03303,0.04838,24.65037,0.03723,452.0,293.0,159.0,20.0,30.0
K2VCuSe3I3,1.22759,-1.07588,0.50185,30.0,0.85,0.11,0.96789,0.30383,24.95135,0.03723,0.03296,0.11524,24.92487,0.03724,458.0,290.0,168.0,20.0,30.0
Na2ZrInS3I3,1.5217,-1.35252,1.49131,30.0,0.85,0.08,0.86735,0.37624,24.95755,0.03725,0.03315,0.04851,24.91722,0.03724,458.0,307.0,151.0,20.0,30.0
K2MoFeSe3Br3,1.22416,-1.22738,0.26161,30.0,0.8355,0.41,0.98653,0.31345,24.48171,0.03755,0.03319,0.12066,24.93557,0.03724,458.0,460.0,-2.0,20.0,30.0
K2MnGaS3Br3,1.26531,-1.29411,1.56375,30.0,0.85,0.38,0.98841,0.33289,25.16352,0.03721,0.03307,0.08503,25.13134,0.03724,458.0,282.0,176.0,20.0,30.0
Na2MoGaSe3I3,1.26731,-0.95974,1.5095,30.0,0.8095,0.11,0.91307,0.28947,23.936,0.03819,0.03382,0.08713,25.14593,0.03724,458.0,742.0,-284.0,20.0,30.0
K2CrMoO3Br3,1.56032,-1.66726,0.16384,30.0,0.85,0.48,1.02852,0.35863,24.70447,0.03721,0.03302,0.04837,24.65555,0.03724,458.0,280.0,178.0,20.0,30.0
Na2VMnS3I3,1.22893,-1.16765,0.46694,30.0,0.82324,0.08,0.92296,0.29332,24.15002,0.03786,0.03344,0.11651,24.9343,0.03724,458.0,606.0,-148.0,20.0,30.0
K2VMnO3Br3,1.57053,-2.00401,0.0855,30.0,0.85,0.48,1.03304,0.35268,24.63196,0.03725,0.03303,0.04842,24.64934,0.03724,458.0,308.0,150.0,20.0,30.0
K2MnGaSe6,1.25889,-1.07541,1.53412,30.0,0.85,0.0,0.9798,0.31944,25.12942,0.03724,0.03307,0.08889,25.12431,0.03724,458.0,294.0,164.0,20.0,30.0
Na2MnSbCl3I3,1.22654,-1.23235,0.45341,30.0,0.79747,0.5,0.91365,0.31047,23.35411,0.03854,0.03395,0.12214,24.95015,0.03724,458.0,847.0,-389.0,20.0,30.0
Na2CrMnO6,1.55846,-2.03263,0.02488,30.0,0.85,0.0,0.97184,0.45,24.72072,0.03718,0.03299,0.04831,24.63795,0.03725,468.0,261.0,207.0,20.0,30.0
Na2NbZnSe3Br3,1.21707,-1.23265,0.22983,30.0,0.83609,0.41,0.89319,0.35025,24.44592,0.03758,0.03318,0.12997,24.91843,0.03725,468.0,465.0,3.0,20.0,30.0
Na2MoSbS3I3,1.22316,-0.90632,0.52551,30.0,0.82437,0.08,0.92208,0.29455,24.14244,0.03788,0.03344,0.12332,24.95133,0.03725,468.0,613.0,-145.0,20.0,30.0
K2TaCuO3Cl3,1.54463,-2.04291,0.73468,30.0,0.85,0.28,1.00199,0.42679,24.81677,0.03724,0.03307,0.04841,24.79467,0.03725,468.0,299.0,169.0,20.0,30.0
Na2VCuSe3Cl3,1.21682,-1.26941,0.27011,30.0,0.81707,0.61,0.91812,0.33509,23.87177,0.03806,0.03355,0.13246,24.88203,0.03725,468.0,690.0,-222.0,20.0,30.0
K2MoSbS3Br3,1.22315,-1.15931,0.22375,30.0,0.83875,0.38,1.00327,0.31316,24.57458,0.03747,0.03313,0.12151,24.85471,0.03725,468.0,417.0,51.0,20.0,30.0
K2NbFeS3Br3,1.21745,-1.38661,0.11277,30.0,0.85,0.38,0.98453,0.33816,24.87191,0.03722,0.03291,0.12805,24.85688,0.03725,468.0,286.0,182.0,20.0,30.0
K2MoAgO3Br3,1.31411,-1.45872,2.65687,30.0,0.85,0.48,0.9582,0.45833,25.32579,0.03726,0.0332,0.0659,25.31062,0.03726,475.0,309.0,166.0,20.0,30.0
K2SnCrS3I3,1.2226,-1.05602,0.43743,30.0,0.85,0.08,0.96839,0.32302,24.91365,0.03725,0.03295,0.12104,24.92815,0.03726,475.0,304.0,171.0,20.0,30.0
Na2SnBiS3I3,1.5594,-0.90073,0.44351,30.0,0.85,0.08,0.87841,0.35891,24.7131,0.03726,0.03305,0.04843,24.68092,0.03726,475.0,310.0,165.0,20.0,30.0
Na2TiGaSe3Br3,1.52199,-1.43445,1.46231,30.0,0.81069,0.41,0.91999,0.31091,23.77301,0.03821,0.03389,0.05006,24.92498,0.03726,475.0,757.0,-282.0,20.0,30.0
Na2CrMnO3I3,1.56283,-1.59062,0.46352,30.0,0.82075,0.78,0.92826,0.35,23.82237,0.03799,0.03361,0.04963,24.70555,0.03726,475.0,669.0,-194.0,20.0,30.0
Na2SbAgO3Se3,1.43851,-1.20211,2.84542,30.0,0.85,0.89,0.88352,0.45858,25.29352,0.03724,0.03322,0.05022,25.27012,0.03726,475.0,301.0,174.0,20.0,30.0
Na2MnGaSe3Br3,1.25496,-1.22286,1.44284,30.0,0.81849,0.41,0.91292,0.32107,24.14761,0.03802,0.03364,0.09428,25.07283,0.03726,475.0,680.0,-205.0,20.0,30.0
Na2ZrCrO3S3,1.5692,-2.03271,0.08793,30.0,0.85,0.86,0.93044,0.41204,24.64397,0.03724,0.03303,0.04839,24.62243,0.03726,475.0,302.0,173.0,20.0,30.0
K2ZrSbS3I3,1.55912,-1.32795,0.45842,30.0,0.85,0.08,0.96568,0.32673,24.71591,0.03726,0.03306,0.04843,24.70162,0.03726,475.0,312.0,163.0,20.0,30.0
K2ZrCrO3Se3,1.55452,-2.05955,0.26856,30.0,0.85,0.89,0.9988,0.39497,24.7466,0.0372,0.03302,0.04834,24.66188,0.03727,484.0,271.0,213.0,20.0,30.0
Na2CrAgO3Br3,1.36564,-1.52014,2.93091,30.0,0.85,0.48,0.88155,0.46577,25.40209,0.03723,0.03321,0.05555,25.33604,0.03727,484.0,288.0,196.0,20.0,30.0
Na2MoAgO3Br3,1.30884,-1.39274,2.80189,30.0,0.85,0.48,0.88605,0.45833,25.31587,0.0373,0.03322,0.0675,25.27687,0.03727,484.0,330.0,154.0,20.0,30.0
Na2NbTaSe6,1.23161,-1.15316,0.73703,30.0,0.85,0.0,0.90952,0.32323,24.98097,0.03724,0.03299,0.11084,24.94491,0.03727,484.0,298.0,186.0,20.0,30.0
Na2SnCuO3Se3,1.21057,-1.33623,0.29011,30.0,0.85,0.89,0.90745,0.42012,24.81954,0.03729,0.03295,0.13706,24.81952,0.03727,484.0,328.0,156.0,20.0,30.0
Na2NbFeS3Br3,1.20636,-1.24944,0.1052,30.0,0.84148,0.38,0.915,0.33816,24.53092,0.03749,0.03309,0.14428,24.79844,0.03727,484.0,423.0,61.0,20.0,30.0
Na2WInSe3I3,1.52581,-1.00238,1.26733,30.0,0.84161,0.11,0.88198,0.33493,24.68533,0.03743,0.03327,0.04875,24.89179,0.03727,484.0,398.0,86.0,20.0,30.0
Li2MoWS6,1.5667,-1.09854,0.26404,30.0,0.6786,0.0,0.75502,0.32337,19.58081,0.0423,0.03685,0.05672,24.65784,0.03728,491.0,1695.0,-1204.0,20.0,30.0
K2VCuO3F3,1.20883,-2.60697,0.13347,30.0,0.85,0.54,1.06421,0.46863,24.80439,0.03728,0.03293,0.1394,24.81272,0.03728,491.0,319.0,172.0,20.0,30.0
K2MnGaS3I3,1.25454,-1.13246,1.61521,30.0,0.85,0.08,0.97569,0.31312,25.11029,0.03728,0.03308,0.09179,25.11498,0.03728,491.0,320.0,171.0,20.0,30.0
K2NbMnO3I3,1.56525,-2.03292,0.48006,30.0,0.84537,0.78,0.99588,0.35694,24.53544,0.0374,0.03316,0.04864,24.68168,0.03728,491.0,388.0,103.0,20.0,30.0
Na2SnVSe3Cl3,1.21682,-1.38235,0.29431,30.0,0.80951,0.61,0.92544,0.32454,23.64501,0.03826,0.0337,0.13343,24.85861,0.03728,491.0,768.0,-277.0,20.0,30.0
Na2VMnS3Br3,1.20628,-1.34162,0.07817,30.0,0.82166,0.38,0.93335,0.31184,23.93304,0.03798,0.03346,0.14704,24.81065,0.03728,491.0,665.0,-174.0,20.0,30.0
Na2MoGaSe3Br3,1.24431,-1.1346,1.44757,30.0,0.80754,0.41,0.92267,0.30711,23.76715,0.03835,0.03387,0.10374,25.09161,0.03728,491.0,791.0,-300.0,20.0,30.0
Na2MnInO6,1.47998,-2.0961,2.56803,30.0,0.85,0.0,0.92948,0.51607,25.16082,0.03729,0.03323,0.04898,25.09233,0.03729,498.0,326.0,172.0,20.0,30.0
Na2FeMnO3Cl3,1.57913,-1.67729,0.00925,30.0,0.85,0.28,0.94124,0.40187,24.5493,0.0373,0.03304,0.04848,24.53844,0.03729,498.0,329.0,169.0,20.0,30.0
Na2SnCrSe3I3,1.21965,-0.98505,0.49006,30.0,0.8277,0.11,0.89726,0.3122,24.21005,0.03781,0.03337,0.12746,24.89617,0.03729,498.0,587.0,-89.0,20.0,30.0
K2NbSbS6,1.56842,-1.0726,0.24009,30.0,0.85,0.0,1.0003,0.33696,24.6519,0.03727,0.03305,0.04843,24.58762,0.03729,498.0,316.0,182.0,20.0,30.0
K2VTaS6,1.55506,-1.43739,0.74835,30.0,0.85,0.0,1.01265,0.32065,24.74437,0.03729,0.03309,0.04848,24.69066,0.0373,502.0,327.0,175.0,20.0,30.0
K2SnTaSe3Cl3,1.55704,-1.60332,0.67029,30.0,0.85,0.61,0.97642,0.35092,24.73333,0.03729,0.03308,0.04848,24.71798,0.0373,502.0,324.0,178.0,20.0,30.0
Na2ZrCrO3I3,1.57329,-2.00858,0.46492,30.0,0.83212,0.78,0.91415,0.37083,24.07561,0.03777,0.03342,0.04927,24.59746,0.0373,502.0,568.0,-66.0,20.0,30.0
Na2MoWSe6,1.21046,-0.99799,0.40725,30.0,0.84178,0.0,0.92542,0.30051,24.56869,0.03751,0.03312,0.13819,24.85374,0.0373,502.0,431.0,71.0,20.0,30.0
Na2ZrGaSe3I3,1.54023,-1.30215,1.46389,30.0,0.83331,0.11,0.89157,0.32057,24.34847,0.03774,0.03347,0.04919,24.86408,0.0373,502.0,557.0,-55.0,20.0,30.0
Na2CrMnO3Se3,1.57593,-1.55948,0.25271,30.0,0.83545,0.89,0.93875,0.37278,24.14659,0.03766,0.03333,0.0491,24.56463,0.0373,502.0,517.0,-15.0,20.0,30.0
K2VZnS3Br3,1.20303,-1.3746,0.08788,30.0,0.85,0.38,0.9855,0.33684,24.76955,0.03731,0.03294,0.14896,24.80094,0.03731,508.0,334.0,174.0,20.0,30.0
Na2NbMnSe3Cl3,1.21002,-1.414,0.27592,30.0,0.81965,0.61,0.91541,0.33905,23.89281,0.03804,0.03351,0.14135,24.82672,0.03731,508.0,683.0,-175.0,20.0,30.0
K2TiFeSe3Br3,1.20016,-1.45307,0.18936,30.0,0.83969,0.41,0.98368,0.31726,24.43969,0.03759,0.03314,0.15545,24.78526,0.03731,508.0,473.0,35.0,20.0,30.0
Na2ZrCrO3Se3,1.57308,-2.12149,0.27068,30.0,0.84566,0.89,0.92381,0.39497,24.47586,0.0374,0.03314,0.04867,24.60694,0.03731,508.0,389.0,119.0,20.0,30.0
K2SnVSe3I3,1.21292,-1.07908,0.5027,30.0,0.84006,0.11,0.97505,0.29426,24.53479,0.03755,0.03316,0.13538,24.84451,0.03732,512.0,459.0,53.0,20.0,30.0
K2VFeO3Cl3,1.57926,-1.99708,0.09448,30.0,0.85,0.28,1.04417,0.36916,24.54958,0.03731,0.03305,0.0485,24.52366,0.03732,512.0,335.0,177.0,20.0,30.0
K2TiInS3I3,1.53887,-1.35779,1.50363,30.0,0.85,0.08,0.9506,0.34777,24.85674,0.03735,0.03317,0.04857,24.82928,0.03732,512.0,358.0,154.0,20.0,30.0
Na2MnInS3I3,1.24143,-1.04695,1.5439,30.0,0.85,0.08,0.87921,0.35767,25.03579,0.03733,0.03308,0.10228,25.05279,0.03732,512.0,347.0,165.0,20.0,30.0
K2TaSbS6,1.5638,-1.12697,0.71378,30.0,0.85,0.0,1.0003,0.33696,24.68033,0.03732,0.03311,0.04852,24.68484,0.03732,512.0,345.0,167.0,20.0,30.0
Na2SnFeO3Se3,1.5737,-1.36757,0.28028,30.0,0.84566,0.89,0.92381,0.39497,24.47121,0.03741,0.03315,0.04869,24.58773,0.03733,517.0,391.0,126.0,20.0,30.0
Na2MoFeO3Br3,1.58193,-1.55537,0.14986,30.0,0.85,0.48,0.94486,0.36756,24.52667,0.03734,0.03307,0.04855,24.53744,0.03733,517.0,350.0,167.0,20.0,30.0
Na2NbSbS6,1.57499,-1.06236,0.24028,30.0,0.85,0.0,0.92844,0.33696,24.58689,0.03731,0.03307,0.04853,24.5395,0.03733,517.0,333.0,184.0,20.0,30.0
Na2SbZnO3I3,1.20531,-1.18253,0.48678,30.0,0.83275,0.78,0.91323,0.37222,24.2594,0.03778,0.03331,0.14767,24.82491,0.03733,517.0,577.0,-60.0,20.0,30.0
Na2SnGaO3I3,1.5349,-1.40661,1.6885,30.0,0.82874,0.78,0.91881,0.36389,24.24502,0.03786,0.03359,0.04943,24.8545,0.03733,517.0,607.0,-90.0,20.0,30.0
K2ZrInSe3Br3,1.54175,-1.6496,1.23318,30.0,0.85,0.41,0.93504,0.38579,24.83518,0.03731,0.03314,0.04852,24.77989,0.03733,517.0,336.0,181.0,20.0,30.0
K2ZrFeO3Br3,1.59033,-2.05173,0.06954,30.0,0.85,0.48,0.99369,0.40625,24.45621,0.03738,0.03307,0.04861,24.47619,0.03733,517.0,377.0,140.0,20.0,30.0
Na2MoFeSe3Br3,1.20487,-1.0868,0.26276,30.0,0.81272,0.41,0.91821,0.31345,23.65099,0.03825,0.03366,0.15021,24.83582,0.03733,517.0,764.0,-247.0,20.0,30.0
K2NbZnO3I3,1.57839,-1.78047,0.47377,30.0,0.85,0.78,0.97689,0.38333,24.55419,0.03737,0.03311,0.04862,24.57416,0.03733,517.0,371.0,146.0,20.0,30.0
K2MnGaS6,1.5163,-1.17675,2.12525,30.0,0.85,0.0,0.99524,0.34375,24.98603,0.03734,0.03324,0.04867,24.96975,0.03734,526.0,357.0,169.0,20.0,30.0
Na2SnWS3Se3,1.57543,-1.00745,0.29195,30.0,0.85,0.03,0.91329,0.3377,24.58286,0.03732,0.03307,0.04854,24.54767,0.03734,526.0,343.0,183.0,20.0,30.0
K2NbTaS3Se3,1.56284,-1.27925,0.72038,30.0,0.85,0.03,0.9844,0.33508,24.68645,0.03732,0.03311,0.04854,24.66692,0.03734,526.0,340.0,186.0,20.0,30.0
K2TiWS6,1.58636,-1.48914,0.1495,30.0,0.85,0.0,1.00746,0.32745,24.49398,0.03737,0.03307,0.04859,24.53812,0.03734,526.0,369.0,157.0,20.0,30.0
K2ZrFeSe3I3,1.21073,-1.30684,0.46934,30.0,0.85,0.11,0.95131,0.32656,24.82031,0.03732,0.03298,0.13712,24.81237,0.03734,526.0,342.0,184.0,20.0,30.0
Na2SnCrO3I3,1.56678,-1.45421,0.47165,30.0,0.82801,0.78,0.91974,0.3625,24.00895,0.03783,0.03348,0.04934,24.58151,0.03735,531.0,596.0,-65.0,20.0,30.0
Na2WBiO3Br3,1.5787,-1.41624,0.18252,30.0,0.85,0.48,0.91984,0.40476,24.55073,0.03732,0.03307,0.04854,24.51131,0.03735,531.0,344.0,187.0,20.0,30.0
Na2VCuS3Br3,1.19688,-1.19566,0.08967,30.0,0.83889,0.38,0.9177,0.33421,24.39254,0.03762,0.03315,0.16032,24.68755,0.03735,531.0,486.0,45.0,20.0,30.0
K2TiMoS3Se3,1.20652,-1.37623,0.33406,30.0,0.85,0.03,1.00109,0.31283,24.79272,0.03733,0.03297,0.14375,24.79756,0.03735,531.0,348.0,183.0,20.0,30.0
K2NbTaO6,1.55802,-2.95062,0.85632,30.0,0.85,0.0,1.05373,0.45714,24.72562,0.03733,0.03311,0.04855,24.66585,0.03735,531.0,346.0,185.0,20.0,30.0
Na2MnInO3Cl3,1.52425,-1.82849,2.16434,30.0,0.85,0.28,0.9099,0.45016,24.94578,0.03738,0.03325,0.04867,24.94684,0.03735,531.0,380.0,151.0,20.0,30.0
Na2SnCrO3Br3,1.58991,-1.6508,0.09701,30.0,0.85,0.48,0.93068,0.38839,24.45888,0.03738,0.03307,0.04861,24.45488,0.03736,537.0,378.0,159.0,20.0,30.0
K2ZrCrO3S3,1.58556,-2.07101,0.1011,30.0,0.85,0.86,1.00772,0.41204,24.49991,0.03735,0.03306,0.04858,24.51692,0.03736,537.0,365.0,172.0,20.0,30.0
Na2NbZnO3Br3,1.58349,-1.81068,0.10579,30.0,0.85,0.48,0.91596,0.41071,24.51587,0.03734,0.03306,0.04856,24.48275,0.03736,537.0,353.0,184.0,20.0,30.0
K2WAgO3I3,1.51352,-1.37022,2.20105,30.0,0.85,0.78,0.94464,0.43056,24.99757,0.03735,0.03324,0.04872,24.9619,0.03736,537.0,359.0,178.0,20.0,30.0
K2CrMoS3Se3,1.20529,-1.18829,0.33286,30.0,0.85,0.03,0.9991,0.31545,24.78492,0.03734,0.03297,0.14501,24.77363,0.03736,537.0,352.0,185.0,20.0,30.0
Na2CrWSe6,1.20857,-1.08663,0.35226,30.0,0.84724,0.0,0.92095,0.30682,24.71867,0.03738,0.03302,0.14033,24.80011,0.03736,537.0,379.0,158.0,20.0,30.0
Na2TiGaS3Br3,1.52631,-1.39952,1.67597,30.0,0.83031,0.38,0.92592,0.32237,24.34168,0.03778,0.03355,0.04931,24.86724,0.03737,543.0,576.0,-33.0,20.0,30.0
Na2SnVSe3Br3,1.20077,-1.31963,0.24839,30.0,0.81171,0.41,0.9191,0.31218,23.59846,0.0383,0.03369,0.15759,24.74043,0.03737,543.0,781.0,-238.0,20.0,30.0
Na2ZrInO3I3,1.54231,-2.0431,1.58891,30.0,0.845,0.78,0.88112,0.42222,24.68171,0.0375,0.03328,0.04881,24.83224,0.03737,543.0,426.0,117.0,20.0,30.0
K2SnGaSe3Br3,1.54724,-1.24194,1.31362,30.0,0.85,0.41,0.97244,0.33249,24.79693,0.03735,0.03315,0.04858,24.73757,0.03738,546.0,362.0,184.0,20.0,30.0
Na2VMnSe3I3,1.21062,-1.1622,0.51024,30.0,0.80398,0.11,0.91733,0.28349,23.42455,0.03848,0.03386,0.14296,24.8171,0.03738,546.0,831.0,-285.0,20.0,30.0
Na2NbMnSe3Br3,1.20044,-1.33628,0.23216,30.0,0.82206,0.41,0.90943,0.32614,23.90923,0.03804,0.03348,0.15681,24.7117,0.03738,546.0,684.0,-138.0,20.0,30.0
Na2MnSbS3I3,1.20646,-0.88275,0.4671,30.0,0.83596,0.08,0.91248,0.30817,24.36708,0.03769,0.03324,0.14531,24.77964,0.03738,546.0,536.0,10.0,20.0,30.0
K2VCuSe3Cl3,1.19706,-1.40287,0.26814,30.0,0.84003,0.61,0.98799,0.33509,24.42747,0.03762,0.03315,0.15992,24.73456,0.03738,546.0,489.0,57.0,20.0,30.0
Na2ZrFeO3Cl3,1.58627,-2.09069,0.05919,30.0,0.85,0.28,0.92581,0.42523,24.49448,0.03735,0.03306,0.04857,24.43462,0.03738,546.0,364.0,182.0,20.0,30.0
K2VCuS3Br3,1.19837,-1.29741,0.09867,30.0,0.85,0.38,0.98744,0.33421,24.73631,0.03734,0.03295,0.15665,24.71644,0.03739,552.0,354.0,198.0,20.0,30.0
K2MnGaSe3Br3,1.23595,-1.3097,1.38568,30.0,0.84374,0.41,0.98085,0.32107,24.80977,0.03747,0.03318,0.10772,25.00154,0.03739,552.0,415.0,137.0,20.0,30.0
K2SnGaO3Br3,1.55233,-1.60506,1.5728,30.0,0.85,0.48,1.00539,0.38988,24.76299,0.03742,0.0332,0.04866,24.73859,0.03739,552.0,397.0,155.0,20.0,30.0
Na2TaCuSe3Br3,1.20593,-1.21281,0.59282,30.0,0.83483,0.41,0.89487,0.34772,24.32715,0.03774,0.03329,0.14644,24.82365,0.03739,552.0,558.0,-6.0,20.0,30.0
K2MoFeS3Br3,1.19507,-1.26609,0.15169,30.0,0.85,0.38,0.9943,0.325,24.70945,0.03737,0.03296,0.16201,24.6661,0.0374,556.0,372.0,184.0,20.0,30.0
K2WInSe3I3,1.55461,-1.04081,1.23396,30.0,0.85,0.11,0.94534,0.33493,24.74767,0.03737,0.03316,0.04861,24.70619,0.03741,557.0,373.0,184.0,20.0,30.0
K2WBiO3I3,1.5898,-1.42851,0.43982,30.0,0.85,0.78,0.98083,0.37778,24.4585,0.03744,0.03312,0.04871,24.48685,0.03741,557.0,401.0,156.0,20.0,30.0
Na2TiCrSe3Br3,1.1865,-1.42415,0.19413,30.0,0.80965,0.41,0.92088,0.30964,23.42953,0.03846,0.03374,0.18323,24.63649,0.03741,557.0,824.0,-267.0,20.0,30.0
Na2MnGaS6,1.51254,-1.10609,2.29278,30.0,0.85,0.0,0.92374,0.34375,25.00249,0.03736,0.03325,0.04873,24.938,0.03741,557.0,366.0,191.0,20.0,30.0
Na2MoFeSe3I3,1.20398,-0.94629,0.53064,30.0,0.81471,0.11,0.90886,0.29545,23.70975,0.03826,0.03366,0.15191,24.72277,0.03741,557.0,767.0,-210.0,20.0,30.0
K2MoInSe3I3,1.2284,-1.04782,1.36611,30.0,0.85,0.11,0.94704,0.33254,24.9544,0.03738,0.03308,0.11513,24.92654,0.03741,557.0,374.0,183.0,20.0,30.0
K2TiFeO3Br3,1.60126,-2.03046,0.04313,30.0,0.85,0.48,1.01848,0.37202,24.35711,0.03745,0.03309,0.04879,24.38168,0.03741,557.0,405.0,152.0,20.0,30.0
Li2WGaS3Br3,1.5556,-1.15322,1.46957,30.0,0.62815,0.38,0.74936,0.32105,18.15067,0.04452,0.03855,0.06041,24.7022,0.03741,557.0,1940.0,-1383.0,20.0,30.0
K2ZrCrO3Cl3,1.59398,-2.21236,0.08516,30.0,0.85,0.28,1.00971,0.41589,24.42434,0.03741,0.03308,0.04868,24.40232,0.03741,557.0,390.0,167.0,20.0,30.0
K2VZnSe3Cl3,1.19221,-1.46586,0.25691,30.0,0.84264,0.61,0.98604,0.33773,24.46472,0.0376,0.03311,0.16908,24.68572,0.03742,566.0,475.0,91.0,20.0,30.0
K2ZrGaS3I3,1.5526,-1.37867,1.55806,30.0,0.85,0.08,0.96209,0.33168,24.76099,0.03742,0.0332,0.04866,24.69718,0.03742,566.0,396.0,170.0,20.0,30.0
K2NbCuO3F3,1.59852,-2.61829,0.17149,30.0,0.85,0.54,1.03813,0.50554,24.38399,0.03745,0.0331,0.04877,24.3829,0.03743,568.0,407.0,161.0,20.0,30.0
Li2MoGaSe3Cl3,1.53847,-1.31433,1.89284,30.0,0.60585,0.61,0.75095,0.31926,17.55679,0.0455,0.03934,0.06199,24.83718,0.03743,568.0,2015.0,-1447.0,20.0,30.0
Na2AgInBr3I3,1.27122,-1.1461,2.8167,30.0,0.84084,0.3,0.83034,0.42067,24.9119,0.03763,0.03341,0.08316,25.15216,0.03743,568.0,498.0,70.0,20.0,30.0
K2TaZnS3I3,1.57869,-1.23327,0.76523,30.0,0.85,0.08,0.95499,0.34158,24.55088,0.03743,0.03315,0.04869,24.53467,0.03743,568.0,399.0,169.0,20.0,30.0
K2CrMoO3Se3,1.59446,-1.62139,0.35361,30.0,0.83145,0.89,1.02712,0.35651,23.87845,0.03791,0.03346,0.04949,24.42903,0.03743,568.0,629.0,-61.0,20.0,30.0
Na2VZnSe3I3,1.19671,-1.1082,0.50447,30.0,0.82333,0.11,0.90137,0.30622,23.91852,0.03808,0.0335,0.16298,24.72987,0.03744,573.0,701.0,-128.0,20.0,30.0
K2SnZnO3Se3,1.59063,-1.32981,0.2759,30.0,0.85,0.89,0.97907,0.42308,24.454,0.03742,0.0331,0.04867,24.38251,0.03744,573.0,394.0,179.0,20.0,30.0
